author_id,twitter_id,state,party,in_reply,referenced_tweets,referenced_id
45645232,224285242,CO,Democrat,,[<ReferencedTweet id=1587551549114519552 type=quoted>],1587551549114519552
45645232,224285242,CO,Democrat,,[<ReferencedTweet id=1585452562643267584 type=retweeted>],1585452562643267584
45645232,224285242,CO,Democrat,,[<ReferencedTweet id=1583917447501197312 type=quoted>],1583917447501197312
45645232,224285242,CO,Democrat,,[<ReferencedTweet id=1578022273822375936 type=quoted>],1578022273822375936
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1590181901985517568 type=retweeted>],1590181901985517568
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1590148740194914305 type=retweeted>],1590148740194914305
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1590219197342420995 type=retweeted>],1590219197342420995
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1590232994396397568 type=retweeted>],1590232994396397568
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1590368870279282688 type=retweeted>],1590368870279282688
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1590199220879097858 type=quoted>],1590199220879097858
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1589775673664888832 type=retweeted>],1589775673664888832
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1589628053218811905 type=retweeted>],1589628053218811905
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587924272374505472 type=retweeted>],1587924272374505472
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1588145694065545216 type=retweeted>],1588145694065545216
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587954791992410115 type=retweeted>],1587954791992410115
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587954539797389313 type=retweeted>],1587954539797389313
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587953420836675584 type=retweeted>],1587953420836675584
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587949720915304450 type=retweeted>],1587949720915304450
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587949295692660738 type=retweeted>],1587949295692660738
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587948661706817537 type=retweeted>],1587948661706817537
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587948229601132548 type=retweeted>],1587948229601132548
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587947088851124224 type=retweeted>],1587947088851124224
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587946690216165378 type=retweeted>],1587946690216165378
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587944447479877633 type=retweeted>],1587944447479877633
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587947640171515921 type=retweeted>],1587947640171515921
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587949842491375616 type=retweeted>],1587949842491375616
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587953294005116935 type=retweeted>],1587953294005116935
102477372,278124059,CT,Democrat,,[<ReferencedTweet id=1587960098839842816 type=retweeted>],1587960098839842816
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1600549449851453468 type=quoted>],1600549449851453468
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1597697661267841024 type=quoted>],1597697661267841024
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1590240439197904896 type=quoted>],1590240439197904896
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1588699420459438081 type=retweeted>],1588699420459438081
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1587821198934773761 type=retweeted>],1587821198934773761
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1586384523322851329 type=quoted>],1586384523322851329
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585718083858989057 type=retweeted>],1585718083858989057
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585659870577049602 type=retweeted>],1585659870577049602
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585715399622266880 type=retweeted>],1585715399622266880
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585712758380965888 type=retweeted>],1585712758380965888
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585354752124411906 type=retweeted>],1585354752124411906
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585422948563025920 type=retweeted>],1585422948563025920
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585424454280450049 type=retweeted>],1585424454280450049
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585370172269158400 type=retweeted>],1585370172269158400
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585354728812482560 type=retweeted>],1585354728812482560
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1585357625750827009 type=retweeted>],1585357625750827009
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1583544102096101376 type=retweeted>],1583544102096101376
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1582394818592141312 type=quoted>],1582394818592141312
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1579850815166353408 type=quoted>],1579850815166353408
111671288,5558312,AR,Republican,,[<ReferencedTweet id=1575888814102675458 type=quoted>],1575888814102675458
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1600880325613260801 type=retweeted>],1600880325613260801
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1600517290415505408 type=retweeted>],1600517290415505408
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1600168138955378693 type=retweeted>],1600168138955378693
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1600146815008927747 type=retweeted>],1600146815008927747
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1600146558258847746 type=retweeted>],1600146558258847746
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1600127932785098752 type=retweeted>],1600127932785098752
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1600133861484077056 type=retweeted>],1600133861484077056
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1599765499763564546 type=retweeted>],1599765499763564546
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598753971824431105 type=retweeted>],1598753971824431105
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598317888456347651 type=retweeted>],1598317888456347651
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598333712239927300 type=retweeted>],1598333712239927300
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598334212142145537 type=retweeted>],1598334212142145537
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598340376317812737 type=retweeted>],1598340376317812737
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598333824919814144 type=retweeted>],1598333824919814144
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598335061929201666 type=retweeted>],1598335061929201666
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598334200461099008 type=retweeted>],1598334200461099008
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598335262362402817 type=retweeted>],1598335262362402817
3006258669,5558312,AR,Republican,,[<ReferencedTweet id=1598304945870196738 type=retweeted>],1598304945870196738
